date,title,first_prize,front_three,back_three,back_two
2016-05-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤษภาคม 2559,141737,"382,975","087,268",98
2016-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2559,399459,"238,403","671,046",02
2016-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2559,221609,"228,008","507,523",87
2016-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2559,066720,"546,390","285,852",92
2016-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2559,134918,"877,855","973,004",32
2016-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2559,439686,"530,426","155,743",06
2016-02-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กุมภาพันธ์ 2559,356364,"699,312","309,535",98
2016-02-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กุมภาพันธ์ 2559,927800,"625,999","054,076",09
2016-01-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 มกราคม 2559,304371,"031,532","786,743",50
2015-12-30,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 30 ธันวาคม 2558,008217,"246,264","895,596",02
2015-12-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 ธันวาคม 2558,930255,"140,250","094,638",08
2015-12-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ธันวาคม 2558,915350,"238,181","714,175",78
2015-11-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤศจิกายน 2558,795283,"241,028","643,802",03
2015-11-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 พฤศจิกายน 2558,361211,"106,757","166,473",45
2015-10-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ตุลาคม 2558,968630,"457,134","412,054",62
2015-10-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ตุลาคม 2558,594825,"175,918","440,799",07
2015-09-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กันยายน 2558,743148,"435,209","375,084",06
2015-09-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กันยายน 2558,021094,"260,403","068,819",89
2015-08-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 สิงหาคม 2558,033363,,"781,227,624,648",40
2015-08-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 สิงหาคม 2558,518677,,"333,598,648,889",53
2015-07-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กรกฎาคม 2558,121507,,"761,461,830,294",49
2015-07-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กรกฎาคม 2558,759049,,"565,814,081,567",26
2015-06-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มิถุนายน 2558,644742,,"429,253,386,532",05
2015-06-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 มิถุนายน 2558,388881,,"314,700,876,969",65
2015-05-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤษภาคม 2558,011421,,"799,484,851,928",38
2015-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2558,543466,,"818,163,366,195",30
2015-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2558,506260,,"101,164,495,973",38
2015-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2558,605704,,"558,962,557,861",70
2015-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2558,048151,,"339,622,623,757",92
2015-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2558,240237,,"498,031,857,008",34
2015-02-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กุมภาพันธ์ 2558,001864,,"843,103,825,392",90
2015-02-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กุมภาพันธ์ 2558,155537,,"083,286,813,008",79
2015-01-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มกราคม 2558,244351,,"068,398,595,877",74
2014-12-30,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 30 ธันวาคม 2557,461704,,"853,982,535,950",57
2014-12-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ธันวาคม 2557,948354,,"080,763,775,901",90
2014-12-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ธันวาคม 2557,480449,,"820,380,580,161",11
2014-11-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤศจิกายน 2557,479804,,"179,422,480,709",25
2014-11-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 พฤศจิกายน 2557,206608,,"607,203,855,979",44
2014-10-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ตุลาคม 2557,656409,,"647,784,848,910",94
2014-10-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ตุลาคม 2557,375615,,"251,086,159,520",44
2014-09-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กันยายน 2557,772269,,"112,257,342,790",35
2014-09-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กันยายน 2557,856763,,"308,912,477,490",22
2014-08-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 สิงหาคม 2557,662842,,"639,912,187,633",91
2014-08-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 สิงหาคม 2557,766391,,"349,576,623,637",82
2014-07-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กรกฎาคม 2557,468728,,"104,944,117,205",45
2014-07-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กรกฎาคม 2557,378477,,"123,271,441,864",39
2014-06-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มิถุนายน 2557,673920,,"158,140,639,576",95
