date,title,first_prize,front_three,back_three,back_two
2023-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2566,843019,"500,780","269,187",65
2023-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2566,984906,"670,678","797,551",71
2023-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2566,087907,"111,914","290,698",99
2023-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2566,025873,"420,800","355,544",73
2023-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2566,417652,"577,919","748,984",55
2023-02-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กุมภาพันธ์ 2566,590417,"195,664","377,523",80
2023-02-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กุมภาพันธ์ 2566,297411,"181,789","101,664",92
2023-01-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 มกราคม 2566,812519,"389,443","564,849",47
2022-12-30,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 30 ธันวาคม 2565,157196,"007,522","250,425",58
2022-12-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ธันวาคม 2565,845093,"912,411","855,593",14
2022-12-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ธันวาคม 2565,375805,"170,786","409,421",08
2022-11-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤศจิกายน 2565,121789,"722,532","157,973",64
2022-11-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 พฤศจิกายน 2565,913106,"722,839","343,922",70
2022-10-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ตุลาคม 2565,613106,"037,158","606,799",15
2022-10-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ตุลาคม 2565,484669,"206,996","194,278",50
2022-09-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กันยายน 2565,943703,"971,540","631,432",75
2022-09-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กันยายน 2565,929332,"298,725","210,604",83
2022-08-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 สิงหาคม 2565,331583,"271,300","284,876",42
2022-08-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 สิงหาคม 2565,436594,"893,266","447,282",14
2022-07-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กรกฎาคม 2565,620405,"159,834","061,279",53
2022-07-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กรกฎาคม 2565,981417,"287,242","002,542",61
2022-06-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มิถุนายน 2565,361807,"549,285","228,106",92
2022-06-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มิถุนายน 2565,319196,"679,817","213,652",02
2022-05-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤษภาคม 2565,155012,"247,736","236,540",06
2022-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2565,658642,"778,518","041,325",09
2022-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2565,395919,"289,859","413,508",58
2022-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2565,970618,"738,391","578,870",10
2022-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2565,737867,"349,985","989,788",03
